,amenities,bathrooms,bedrooms,fee,price,square_feet,cityname,state,time,state_num,city_num
20,None,1.0,1.0,No,0.0076481835564053535,0.0024812651946164066,Charlotte,NC,2019-12-14 11:16:55,7,11
21,"['Cable or Satellite', 'Clubhouse', 'Elevator', 'Internet Access', 'Parking', 'Pool', 'Refrigerator']",1.0,1.0,No,0.006577437858508604,0.0024812651946164066,Tallahassee,FL,2019-12-26 11:18:28,9,12
22,None,1.0,1.0,No,0.00621414913957935,0.0024812651946164066,,,2019-12-22 11:40:25,0,0
23,['Pool'],1.0,1.0,No,0.004780114722753346,0.0024812651946164066,Phoenix,AZ,2019-12-22 11:52:19,6,14
24,None,1.0,1.0,No,0.010516252390057362,0.002857214466527983,Riverview,FL,2019-12-22 11:47:40,9,15
25,None,1.0,1.0,No,0.03441682600382409,0.002957467605704404,Lafayette,AL,2019-12-26 11:20:17,11,16
26,None,1.0,1.0,No,0.022944550669216062,0.002957467605704404,San Francisco,CA,2019-12-26 11:20:09,5,6
27,None,1.0,1.0,No,0.017112810707456978,0.002957467605704404,Glen Burnie,MD,2019-12-26 11:20:34,12,17
28,['Pool'],1.0,1.0,No,0.013671128107074569,0.002957467605704404,Littleton,CO,2019-12-22 11:43:27,13,18
29,['Pool'],1.0,1.0,No,0.01338432122370937,0.002957467605704404,Waldorf,MD,2019-12-22 11:48:39,12,19
30,['Pool'],1.0,1.0,No,0.012715105162523901,0.002957467605704404,Riverview,FL,2019-12-22 11:47:28,9,15
31,['Pool'],1.0,1.0,No,0.010516252390057362,0.002957467605704404,,,2019-12-26 11:15:21,0,0
32,None,1.0,1.0,No,0.010038240917782026,0.002957467605704404,Aurora,CO,2019-12-22 11:43:15,13,20
33,None,1.0,1.0,No,0.008604206500956023,0.002957467605704404,Manassas,VA,2019-12-26 11:20:48,2,21
34,None,1.0,1.0,No,0.008604206500956023,0.002957467605704404,Decatur,GA,2019-12-22 11:46:22,8,22
35,None,1.0,1.0,No,0.008508604206500956,0.002957467605704404,Tampa,FL,2019-12-26 11:20:35,9,23
36,None,1.0,1.0,No,0.007552581261950287,0.002957467605704404,Albuquerque,NM,2019-12-26 11:22:06,14,24
37,None,1.0,1.0,No,0.010516252390057362,0.002982530890498509,,,2019-12-22 11:46:52,0,0
38,None,1.0,0.0,No,0.019024856596558316,0.003057720744880824,Seattle,WA,2019-12-26 11:32:55,3,3
39,None,1.0,0.0,No,0.018164435946462717,0.003107847314469034,Seattle,WA,2019-12-26 11:40:12,3,3
40,"['Cable or Satellite', 'Dishwasher', 'Internet Access', 'Parking', 'Refrigerator']",1.0,1.0,No,0.01418738049713193,0.003107847314469034,Chicago,IL,2019-12-26 11:21:41,15,25
41,None,1.0,0.0,No,0.020076481835564052,0.0031830371688513497,Seattle,WA,2019-12-26 11:38:16,3,3
42,None,1.0,1.0,No,0.011472275334608031,0.0032331637384395598,Gastonia,NC,2019-12-18 10:55:01,7,26
43,None,1.0,1.0,No,0.009273422562141491,0.0032331637384395598,Wimauma,FL,2019-12-22 11:47:29,9,27
44,None,1.0,1.0,No,0.00621414913957935,0.0032331637384395598,Memphis,TN,2019-12-26 11:25:51,16,28
45,None,1.0,0.0,No,0.017112810707456978,0.003258227023233665,Seattle,WA,2019-12-26 11:38:54,3,3
46,"['Dishwasher', 'Refrigerator']",1.0,0.0,No,0.02858508604206501,0.0032832903080277703,San Francisco,CA,2019-12-26 11:07:44,5,6
47,None,1.0,0.0,No,0.015105162523900574,0.003458733301586506,Washington,DC,2019-12-26 11:23:31,10,13
48,None,1.0,1.0,No,0.010994263862332695,0.003483796586380611,Bellingham,WA,2019-12-26 11:35:35,3,29
49,None,1.0,0.0,No,0.02101338432122371,0.0035589864407629263,Seattle,WA,2019-12-26 11:26:26,3,3
50,['Dishwasher'],1.0,1.0,No,0.009655831739961759,0.0036091130103511368,Anchorage,AK,2019-12-26 11:16:40,17,30
51,None,1.0,1.0,No,0.030592734225621414,0.003734429434321662,Pacifica,CA,2019-12-22 11:45:33,5,31
52,['Pool'],1.0,1.0,No,0.02676864244741874,0.003734429434321662,Marina Del Rey,CA,2019-12-14 11:14:08,5,32
53,None,1.0,1.0,No,0.0248565965583174,0.003734429434321662,San Francisco,CA,2019-12-26 11:20:13,5,6
54,None,1.0,1.0,No,0.021606118546845125,0.003734429434321662,Studio City,CA,2019-12-22 11:55:55,5,33
55,None,1.0,1.0,No,0.021223709369024856,0.003734429434321662,Moorpark,CA,2019-12-26 11:19:12,5,34
56,['Pool'],1.0,1.0,No,0.021032504780114723,0.003734429434321662,Torrance,CA,2019-12-22 11:56:27,5,35
57,None,1.0,1.0,No,0.020936902485659655,0.003734429434321662,Sacramento,CA,2019-12-22 11:41:32,5,36
58,['Pool'],1.0,1.0,No,0.02017208413001912,0.003734429434321662,Lake Balboa,CA,2019-12-14 11:15:23,5,37
59,None,1.0,1.0,No,0.020076481835564052,0.003734429434321662,Seattle,WA,2019-12-22 11:48:15,3,3
60,None,1.0,1.0,No,0.020076481835564052,0.003734429434321662,North Hollywood,CA,2019-12-10 11:19:27,5,38
61,None,1.0,1.0,No,0.019120458891013385,0.003734429434321662,Denver,CO,2019-12-22 11:43:28,13,39
62,None,1.0,1.0,No,0.019120458891013385,0.003734429434321662,Aurora,CO,2019-12-22 11:44:58,13,20
63,None,1.0,1.0,No,0.01864244741873805,0.003734429434321662,Brentwood,CA,2019-12-26 11:16:48,5,40
64,None,1.0,1.0,No,0.01826003824091778,0.003734429434321662,San Rafael,CA,2019-12-22 11:45:22,5,41
65,['Pool'],1.0,1.0,No,0.018164435946462717,0.003734429434321662,North Potomac,MD,2019-12-22 11:46:55,12,42
66,['Pool'],1.0,1.0,No,0.01806883365200765,0.003734429434321662,Andover,MA,2019-12-26 11:21:12,18,43
67,None,1.0,1.0,No,0.017877629063097516,0.003734429434321662,Oakland,CA,2019-12-26 11:20:10,5,44
68,None,1.0,1.0,No,0.017495219885277247,0.003734429434321662,San Pablo,CA,2019-12-26 11:20:08,5,45
69,None,1.0,0.0,No,0.017112810707456978,0.003734429434321662,Chicago,IL,2019-12-22 12:16:15,15,25
70,None,1.0,1.0,No,0.017017208413001913,0.003734429434321662,Alexandria,VA,2019-12-26 11:20:48,2,46
71,None,1.0,1.0,No,0.016730401529636712,0.003734429434321662,Chicago,IL,2019-12-22 11:53:25,15,25
72,['Pool'],1.0,1.0,No,0.016252390057361378,0.003734429434321662,Thousand Oaks,CA,2019-12-26 11:19:16,5,47
73,None,1.0,1.0,No,0.016252390057361378,0.003734429434321662,Denver,CO,2019-12-26 11:19:48,13,39
74,None,1.0,1.0,No,0.01615678776290631,0.003734429434321662,Burke,VA,2019-12-22 11:48:45,2,48
75,None,1.0,1.0,No,0.01577437858508604,0.003734429434321662,Bellevue,WA,2019-12-26 11:20:45,3,49
76,None,1.0,1.0,No,0.01577437858508604,0.003734429434321662,,,2019-12-22 11:47:39,0,0
77,None,1.0,1.0,No,0.015391969407265775,0.003734429434321662,Wilton,CA,2019-12-22 11:41:31,5,50
78,None,1.0,1.0,No,0.015296367112810707,0.003734429434321662,Woodland Hills,CA,2019-12-26 11:19:17,5,51
79,None,1.0,1.0,No,0.015296367112810707,0.003734429434321662,Miami,FL,2019-12-26 11:20:31,9,52
80,None,1.0,1.0,No,0.015296367112810707,0.003734429434321662,Hyattsville,MD,2019-12-26 11:20:33,12,53
81,None,1.0,1.0,No,0.015296367112810707,0.003734429434321662,Westminster,CO,2019-12-22 11:44:58,13,54
82,None,1.0,1.0,No,0.015296367112810707,0.003734429434321662,Aurora,CO,2019-12-22 11:43:22,13,20
83,None,1.0,1.0,No,0.015296367112810707,0.003734429434321662,Arvada,CO,2019-12-22 11:44:57,13,55
84,None,1.0,1.0,No,0.015296367112810707,0.003734429434321662,Seal Beach,CA,2019-12-18 10:54:03,5,56
85,['Pool'],1.0,1.0,No,0.014818355640535373,0.003734429434321662,San Marcos,CA,2019-12-26 11:20:40,5,57
86,None,1.0,1.0,No,0.014627151051625239,0.003734429434321662,Medford Lakes,NJ,2019-12-22 11:54:25,19,58
87,None,1.0,1.0,No,0.014435946462715106,0.003734429434321662,Glen Burnie,MD,2019-12-26 11:21:02,12,17
88,None,1.0,1.0,No,0.014340344168260038,0.003734429434321662,Littleton,CO,2019-12-22 11:44:56,13,18
89,None,1.0,1.0,No,0.014340344168260038,0.003734429434321662,Aurora,CO,2019-12-22 11:44:58,13,20
90,None,1.0,1.0,No,0.01395793499043977,0.003734429434321662,Concord,CA,2019-12-22 11:45:46,5,59
91,None,1.0,1.0,No,0.013862332695984704,0.003734429434321662,Lafayette,CO,2019-12-26 11:15:25,13,16
92,None,1.0,1.0,No,0.013862332695984704,0.003734429434321662,Chula Vista,CA,2019-12-22 11:47:46,5,60
93,['Pool'],1.0,1.0,No,0.013862332695984704,0.003734429434321662,Glen Burnie,MD,2019-12-22 11:44:59,12,17
94,None,1.0,1.0,No,0.013671128107074569,0.003734429434321662,Highlands Ranch,CO,2019-12-26 11:08:08,13,61
95,['Pool'],1.0,1.0,No,0.01338432122370937,0.003734429434321662,Laurel,MD,2019-12-26 11:20:51,12,62
96,['Pool'],1.0,1.0,No,0.01338432122370937,0.003734429434321662,Orlando,FL,2019-12-26 11:18:42,9,63
97,None,1.0,1.0,No,0.01338432122370937,0.003734429434321662,Boulder,CO,2019-12-26 11:15:24,13,64
98,None,1.0,1.0,No,0.01338432122370937,0.003734429434321662,Aurora,CO,2019-12-22 11:44:57,13,20
99,['Pool'],1.0,1.0,No,0.01338432122370937,0.003734429434321662,La Puente,CA,2019-12-18 10:54:54,5,65
100,None,1.0,1.0,No,0.01338432122370937,0.003734429434321662,Anaheim,CA,2019-12-10 11:19:29,5,66
101,None,1.0,1.0,No,0.013288718929254302,0.003734429434321662,Commerce City,CO,2019-12-22 11:43:29,13,67
102,None,1.0,1.0,No,0.013288718929254302,0.003734429434321662,Arvada,CO,2019-12-22 11:44:57,13,55
103,None,1.0,1.0,No,0.012906309751434034,0.003734429434321662,Arlington,VA,2019-12-22 11:48:42,2,2
104,None,1.0,1.0,No,0.012715105162523901,0.003734429434321662,Naples,FL,2019-12-26 11:15:31,9,68
105,['Pool'],1.0,1.0,No,0.012715105162523901,0.003734429434321662,Atlanta,GA,2019-12-26 11:20:22,8,69
106,['Pool'],1.0,1.0,No,0.012619502868068833,0.003734429434321662,Sarasota,FL,2019-12-26 11:18:58,9,70
107,None,1.0,1.0,No,0.012523900573613767,0.003734429434321662,Aurora,CO,2019-12-26 11:19:50,13,20
108,['Pool'],1.0,1.0,No,0.0124282982791587,0.003734429434321662,Lorton,VA,2019-12-26 11:20:51,2,71
109,"['Cable or Satellite', 'Internet Access', 'Parking', 'Refrigerator']",1.0,1.0,No,0.0124282982791587,0.003734429434321662,Fort Lupton,CO,2019-12-26 11:15:18,13,72
110,['Pool'],1.0,1.0,No,0.0124282982791587,0.003734429434321662,Woodbridge,VA,2019-12-26 11:20:50,2,73
111,None,1.0,1.0,No,0.0124282982791587,0.003734429434321662,Nashville,TN,2019-12-26 11:18:27,16,74
112,None,1.0,1.0,No,0.0124282982791587,0.003734429434321662,Saint Petersburg,FL,2019-12-22 11:47:39,9,75
113,None,1.0,1.0,No,0.0124282982791587,0.003734429434321662,Portland,OR,2019-12-22 11:42:51,20,76
114,None,1.0,1.0,No,0.011950286806883365,0.003734429434321662,Joppa,MD,2019-12-22 11:49:26,12,77
115,['Pool'],1.0,1.0,No,0.011567877629063097,0.003734429434321662,Atlanta,GA,2019-12-26 11:20:29,8,69
116,None,1.0,1.0,No,0.011472275334608031,0.003734429434321662,Broomfield,CO,2019-12-26 11:15:24,13,78
117,['Pool'],1.0,1.0,No,0.011472275334608031,0.003734429434321662,Englewood,CO,2019-12-26 11:19:49,13,79
118,None,1.0,1.0,No,0.011472275334608031,0.003734429434321662,Potomac,MD,2019-12-26 11:20:32,12,80
119,None,1.0,1.0,No,0.011472275334608031,0.003734429434321662,Deltona,FL,2019-12-26 11:18:49,9,81
120,None,1.0,1.0,No,0.011472275334608031,0.003734429434321662,Lodi,CA,2019-12-26 11:18:56,5,82
121,None,1.0,1.0,No,0.011472275334608031,0.003734429434321662,Jacksonville,FL,2019-12-22 11:40:25,9,83
122,None,1.0,1.0,No,0.011376673040152963,0.003734429434321662,Parker,CO,2019-12-26 11:19:48,13,84
123,None,1.0,1.0,No,0.01118546845124283,0.003734429434321662,Fountain,CO,2019-12-26 11:18:55,13,85
124,None,1.0,1.0,No,0.01118546845124283,0.003734429434321662,Fort Collins,CO,2019-12-26 11:15:30,13,86
125,None,1.0,1.0,No,0.010707456978967494,0.003734429434321662,Loveland,CO,2019-12-26 11:15:30,13,87
126,['Pool'],1.0,1.0,No,0.010611854684512428,0.003734429434321662,Longwood,FL,2019-12-26 11:18:42,9,88
127,None,1.0,1.0,No,0.010611854684512428,0.003734429434321662,Bear,DE,2019-12-26 11:15:46,21,89
128,None,1.0,1.0,No,0.010611854684512428,0.003734429434321662,Hummelstown,PA,2019-12-26 11:10:30,22,90
129,None,1.0,1.0,No,0.010516252390057362,0.003734429434321662,Riverside,CA,2019-12-26 11:20:06,5,91
130,None,1.0,1.0,No,0.010516252390057362,0.003734429434321662,Port Saint Lucie,FL,2019-12-26 11:17:00,9,92
131,['Pool'],1.0,1.0,No,0.010516252390057362,0.003734429434321662,Germantown,MD,2019-12-26 11:20:52,12,93
132,None,1.0,1.0,No,0.010516252390057362,0.003734429434321662,Charlotte,NC,2019-12-18 10:54:15,7,11
133,None,1.0,1.0,No,0.010038240917782026,0.003734429434321662,Nashville,TN,2019-12-26 11:18:25,16,74
134,None,1.0,1.0,No,0.010038240917782026,0.003734429434321662,Hiram,GA,2019-12-22 11:46:41,8,94
135,None,1.0,1.0,No,0.00994263862332696,0.003734429434321662,Converse,TX,2019-12-26 11:18:46,23,95
136,['Pool'],1.0,1.0,No,0.009655831739961759,0.003734429434321662,Houston,TX,2019-12-26 11:21:00,23,96
137,['Pool'],1.0,1.0,No,0.009560229445506692,0.003734429434321662,Apache Junction,AZ,2019-12-26 11:21:34,6,97
138,['Pool'],1.0,1.0,No,0.009560229445506692,0.003734429434321662,Austin,TX,2019-12-26 11:18:37,23,98
139,None,1.0,1.0,No,0.009560229445506692,0.003734429434321662,Broomfield,CO,2019-12-26 11:15:23,13,78
140,['Pool'],1.0,1.0,No,0.009560229445506692,0.003734429434321662,Scottsdale,AZ,2019-12-26 11:21:35,6,99
141,None,1.0,1.0,No,0.009560229445506692,0.003734429434321662,Orlando,FL,2019-12-26 11:18:41,9,63
142,['Pool'],1.0,1.0,No,0.009560229445506692,0.003734429434321662,Baltimore,MD,2019-12-22 11:49:27,12,100
143,None,1.0,1.0,No,0.009560229445506692,0.003734429434321662,Centennial,CO,2019-12-22 11:44:56,13,101
144,None,1.0,1.0,No,0.009560229445506692,0.003734429434321662,Lakewood,CO,2019-12-22 11:44:56,13,102
145,None,1.0,1.0,No,0.009560229445506692,0.003734429434321662,Kyle,TX,2019-12-22 11:43:39,23,103
146,"['Internet Access', 'Parking', 'Refrigerator']",1.0,0.0,No,0.009464627151051626,0.003734429434321662,Cedar Falls,IA,2019-12-26 11:16:10,24,104
147,None,1.0,1.0,No,0.009464627151051626,0.003734429434321662,Summit,IL,2019-12-22 11:53:09,15,105
148,None,1.0,1.0,No,0.009273422562141491,0.003734429434321662,Columbia,SC,2019-12-26 11:19:04,25,106
149,['Pool'],1.0,1.0,No,0.009273422562141491,0.003734429434321662,Phoenix,AZ,2019-12-22 11:52:22,6,14
150,None,1.0,1.0,No,0.009082217973231358,0.003734429434321662,Houston,TX,2019-12-22 11:48:48,23,96
151,None,1.0,1.0,No,0.009082217973231358,0.003734429434321662,Coon Rapids,MN,2019-12-06 13:21:24,26,107
152,None,1.0,1.0,No,0.008795411089866157,0.003734429434321662,Phoenix,AZ,2019-12-22 11:52:29,6,14
153,['Pool'],1.0,1.0,No,0.008604206500956023,0.003734429434321662,Baltimore,MD,2019-12-26 11:20:03,12,100
154,None,1.0,1.0,No,0.008604206500956023,0.003734429434321662,Salem,OR,2019-12-26 11:16:42,20,108
155,None,1.0,1.0,No,0.008604206500956023,0.003734429434321662,Chiefland,FL,2019-12-26 11:15:19,9,109
156,None,1.0,1.0,No,0.008604206500956023,0.003734429434321662,San Antonio,TX,2019-12-22 11:41:59,23,110
157,['Pool'],1.0,1.0,No,0.008604206500956023,0.003734429434321662,Antioch,TN,2019-12-22 11:40:55,16,111
158,['Pool'],1.0,1.0,No,0.008508604206500956,0.003734429434321662,Surfside Beach,SC,2019-12-26 11:16:47,25,112
159,['Pool'],1.0,1.0,No,0.008508604206500956,0.003734429434321662,Charlotte,NC,2019-12-18 10:54:31,7,11
160,['Pool'],1.0,1.0,No,0.008126195028680689,0.003734429434321662,Venice,FL,2019-12-26 11:18:58,9,5
161,['Pool'],1.0,1.0,No,0.008126195028680689,0.003734429434321662,,,2019-12-26 11:18:50,0,0
162,None,1.0,1.0,No,0.007839388145315488,0.003734429434321662,Phoenix,AZ,2019-12-22 11:52:30,6,14
163,['Pool'],1.0,1.0,No,0.0076481835564053535,0.003734429434321662,Spring Hill,FL,2019-12-26 11:15:40,9,113
164,['Pool'],1.0,1.0,No,0.0076481835564053535,0.003734429434321662,Tucson,AZ,2019-12-26 11:19:37,6,7
165,['Pool'],1.0,1.0,No,0.0076481835564053535,0.003734429434321662,Dunwoody,GA,2019-12-26 11:20:25,8,114
166,None,1.0,1.0,No,0.0076481835564053535,0.003734429434321662,Santa Cruz,CA,2019-12-26 11:15:18,5,115
167,None,1.0,1.0,No,0.0076481835564053535,0.003734429434321662,Tampa,FL,2019-12-22 11:47:28,9,23
168,None,1.0,1.0,No,0.0076481835564053535,0.003734429434321662,Houghton,MI,2019-12-22 12:18:59,27,116
169,None,1.0,1.0,No,0.0076481835564053535,0.003734429434321662,Raleigh,NC,2019-12-22 11:56:02,7,117
170,None,1.0,1.0,No,0.007552581261950287,0.003734429434321662,New Canton,VA,2019-12-26 11:14:27,2,118
171,['Pool'],1.0,1.0,No,0.007265774378585086,0.003734429434321662,Vero Beach,FL,2019-12-26 11:15:42,9,119
172,None,1.0,1.0,No,0.007170172084130019,0.003734429434321662,Coatesville,PA,2019-12-26 11:16:47,22,120
173,None,1.0,1.0,No,0.007170172084130019,0.003734429434321662,Winter Springs,FL,2019-12-22 11:41:34,9,121
174,None,1.0,1.0,No,0.006692160611854685,0.003734429434321662,Clarksville,MD,2019-12-26 11:20:03,12,122
175,['Pool'],1.0,1.0,No,0.006692160611854685,0.003734429434321662,Springfield,VA,2019-12-26 11:21:27,2,123
176,['Pool'],1.0,1.0,No,0.0057361376673040155,0.003734429434321662,Little River,SC,2019-12-26 11:16:46,25,124
177,['Pool'],1.0,1.0,No,0.0057361376673040155,0.003734429434321662,Bacliff,TX,2019-12-26 11:20:58,23,125
178,None,1.0,1.0,No,0.0057361376673040155,0.003734429434321662,Paulden,AZ,2019-12-26 11:09:57,6,126
179,"['Cable or Satellite', 'Dishwasher', 'Garbage Disposal', 'Parking', 'Refrigerator']",1.0,1.0,No,0.005717017208413002,0.003734429434321662,Frankfort,KY,2019-12-26 11:10:27,28,127
180,['Pool'],1.0,1.0,No,0.005640535372848948,0.003734429434321662,Phoenix,AZ,2019-12-22 11:52:16,6,14
181,None,1.0,1.0,No,0.0,0.003734429434321662,Mount Airy,MD,2019-12-22 11:44:59,12,128
182,None,1.0,0.0,No,0.021510516252390057,0.0038096192887039776,Seattle,WA,2019-12-26 11:38:59,3,3
183,None,1.0,0.0,No,0.022944550669216062,0.0038597458582921877,Kirkland,WA,2019-12-26 11:38:44,3,129
184,"['Cable or Satellite', 'Dishwasher', 'Internet Access', 'Parking', 'Refrigerator']",1.0,0.0,No,0.03432122370936903,0.003934935712674503,San Francisco,CA,2019-12-26 11:08:33,5,6
185,"['Parking', 'Storage']",1.0,1.0,No,0.009751434034416827,0.004110378706233239,Madison,WI,2019-12-26 11:12:05,29,130
186,"['Dishwasher', 'Fireplace', 'Garbage Disposal', 'Parking', 'Patio/Deck', 'Refrigerator']",1.0,1.0,No,0.027896749521988527,0.004285821699791975,Washington,DC,2019-12-26 11:12:34,10,13
187,None,1.0,1.0,No,0.02676864244741874,0.004285821699791975,San Leandro,CA,2019-12-26 11:20:08,5,131
188,"['Cable or Satellite', 'Internet Access', 'Parking', 'Patio/Deck', 'Refrigerator', 'Storage']",1.0,1.0,No,0.0124282982791587,0.00431088498458608,Bloomington,IN,2019-12-26 11:17:31,1,132
189,None,1.0,0.0,No,0.032504780114722756,0.00436101155417429,Corona Del Mar,CA,2019-12-22 12:01:54,5,133
190,None,1.0,1.0,No,0.024952198852772466,0.00436101155417429,Los Angeles,CA,2019-12-18 10:55:00,5,134
191,['Pool'],1.0,1.0,No,0.01338432122370937,0.00436101155417429,Gilbert,AZ,2019-12-22 11:52:19,6,135
192,"['Cable or Satellite', 'Refrigerator']",1.0,0.0,No,0.013231357552581261,0.00436101155417429,Chicago,IL,2019-12-26 11:21:42,15,25
193,None,1.0,1.0,No,0.009655831739961759,0.00436101155417429,Cincinnati,OH,2019-09-18 00:55:04,30,136
194,['Pool'],1.0,1.0,No,0.01988527724665392,0.004486327978144816,Oxon Hill,MD,2019-12-26 11:20:51,12,137
195,None,1.0,1.0,No,0.012810707456978968,0.004611644402115341,Anchorage,AK,2019-12-26 11:39:47,17,30
196,None,1.0,0.0,No,0.017112810707456978,0.004636707686909446,Chicago,IL,2019-12-26 11:35:56,15,25
197,None,1.0,0.0,No,0.02198852772466539,0.004686834256497656,Seattle,WA,2019-12-26 11:36:25,3,3
198,"['AC', 'Cable or Satellite', 'Internet Access', 'Parking', 'Storage', 'Washer Dryer']",1.0,1.0,No,0.012715105162523901,0.004686834256497656,Oakdale,PA,2019-09-18 03:32:22,22,138
199,"['Basketball', 'Cable or Satellite', 'Dishwasher', 'Playground', 'Pool', 'Refrigerator']",1.0,1.0,No,0.009369024856596558,0.004686834256497656,Tampa,FL,2019-12-22 11:47:16,9,23
200,None,1.0,0.0,No,0.017189292543021033,0.0047369608260858665,Portland,OR,2019-12-26 11:31:20,20,76
201,"['Cable or Satellite', 'Internet Access', 'Parking', 'Patio/Deck', 'Refrigerator']",1.0,1.0,No,0.009560229445506692,0.0047369608260858665,Minneapolis,MN,2019-12-18 10:54:23,26,139
202,None,1.0,0.0,No,0.0124282982791587,0.004887340534850498,Iowa City,IA,2019-12-26 11:30:40,24,140
203,None,1.0,0.0,No,0.03824091778202677,0.004987593674026918,Palo Alto,CA,2019-12-26 11:35:27,5,141
204,"['Cable or Satellite', 'Internet Access', 'Refrigerator']",1.0,1.0,No,0.03655831739961759,0.004987593674026918,Ramsey,NJ,2019-09-18 04:31:39,19,142
205,"['Cable or Satellite', 'Internet Access', 'Refrigerator']",1.0,1.0,No,0.03189292543021033,0.004987593674026918,Monrovia,CA,2019-09-18 04:02:49,5,143
206,"['Cable or Satellite', 'Internet Access', 'Parking', 'Refrigerator']",1.0,1.0,No,0.030305927342256213,0.004987593674026918,Farmington,CT,2019-09-18 03:23:27,31,144
207,"['Cable or Satellite', 'Elevator', 'Gated', 'Gym', 'Refrigerator']",1.0,1.0,No,0.026290630975143402,0.004987593674026918,Los Angeles,CA,2019-09-17 22:07:06,5,134
208,"['Cable or Satellite', 'Internet Access', 'Parking', 'Refrigerator']",1.0,1.0,No,0.025506692160611855,0.004987593674026918,Gaithersburg,MD,2019-09-18 00:23:15,12,145
209,"['Cable or Satellite', 'Internet Access', 'Refrigerator']",1.0,1.0,No,0.024282982791587,0.004987593674026918,Manchester,CT,2019-09-18 03:25:35,31,146
210,"['Cable or Satellite', 'Internet Access', 'Refrigerator']",1.0,1.0,No,0.024282982791587,0.004987593674026918,Glen Burnie,MD,2019-09-18 02:55:46,12,17
211,"['Cable or Satellite', 'Internet Access', 'Refrigerator']",1.0,1.0,No,0.024282982791587,0.004987593674026918,Columbia,MD,2019-09-18 02:47:18,12,106
212,"['Cable or Satellite', 'Elevator', 'Internet Access', 'Parking', 'Refrigerator']",1.0,2.0,No,0.023422562141491396,0.004987593674026918,Brooklyn,NY,2019-12-26 11:21:17,4,147
213,"['Cable or Satellite', 'Internet Access', 'Refrigerator']",1.0,1.0,No,0.022676864244741874,0.004987593674026918,Linthicum Heights,MD,2019-09-18 03:39:55,12,148
214,None,1.0,0.0,No,0.019024856596558316,0.004987593674026918,Seattle,WA,2019-12-26 11:33:25,3,3
215,None,1.0,1.0,No,0.01520076481835564,0.004987593674026918,Chicago,IL,2019-12-26 11:25:53,15,25
216,None,1.0,0.0,No,0.014818355640535373,0.004987593674026918,Long Beach,CA,2019-09-18 03:33:38,5,149
217,"['Cable or Satellite', 'Internet Access', 'Parking', 'Refrigerator']",1.0,1.0,No,0.013594646271510516,0.004987593674026918,Chicago,IL,2019-12-26 11:09:49,15,25
218,None,1.0,0.0,No,0.01338432122370937,0.004987593674026918,Austin,TX,2019-12-22 12:18:46,23,98
219,['Pool'],1.0,1.0,No,0.011472275334608031,0.004987593674026918,Fort Collins,CO,2019-12-26 11:15:30,13,86
220,None,1.0,1.0,No,0.011472275334608031,0.004987593674026918,Decatur,GA,2019-12-26 11:20:26,8,22
221,None,1.0,1.0,No,0.011376673040152963,0.004987593674026918,Denver,CO,2019-12-22 11:43:28,13,39
